ID,Name,Team,Position,GP,TOI,Goals,SH%,iSCF,iHDCF,Shot Attempts,Shots on Goal,Unblocked Shot Attempts,Got Blocked Attempt,Missed Net
1,A.J. Greer,BOS,L,61,555.65,5,7.58,76,36,107,66,85,22,19
2,Aaron Ekblad,FLA,D,71,1660.983333,14,6.48,136,37,376,216,282,94,66
3,Adam Boqvist,CBJ,D,46,857.1333333,5,7.35,48,7,135,68,98,37,30
4,Adam Erne,DET,L,61,816.2333333,8,14.55,69,31,114,55,85,29,30
5,Adam Fox,NYR,D,82,1998.966667,12,7.55,154,35,331,159,220,111,61
6,Adam Henrique,ANA,C,62,1127.166667,22,16.67,160,87,224,132,177,47,45
7,Adam Larsson,SEA,D,82,1938.466667,8,5.59,72,18,299,143,208,91,65
8,Adam Lowry,WPG,C,82,1283.083333,13,10.32,156,97,209,126,182,27,56
9,Adam Pelech,NYI,D,61,1320.766667,6,6.19,67,11,230,97,152,78,55
10,Adam Ruzicka,CGY,C,44,509.3333333,6,9.38,72,21,120,64,90,30,26
11,Adrian Kempe,L.A,"C, R",82,1538.15,41,16.4,244,80,451,250,342,109,92
12,Alec Martinez,VGK,D,77,1480.316667,3,3.95,54,13,197,76,117,80,41
13,Aleksander Barkov,FLA,C,68,1443.25,23,11.06,215,88,345,208,277,68,69
14,Alex Belzile,MTL,R,31,376.15,6,15,32,15,67,40,53,14,13
15,Alex Chiasson,DET,R,20,241.45,6,24,31,22,39,25,34,5,9
16,Alex DeBrincat,OTT,R,82,1558.516667,27,10.27,288,89,471,263,345,126,82
17,Alex Goligoski,MIN,D,46,812.6666667,2,3.17,25,8,116,63,75,41,12
18,Alex Iafallo,L.A,L,59,961.7,14,10.53,125,69,218,133,170,48,37
19,Alex Killorn,T.B,L,82,1411.133333,27,18.88,173,98,239,143,186,53,43
20,Alex Newhook,COL,C,82,1144.15,14,12.07,133,60,192,116,141,51,25
21,Alex Ovechkin,WSH,L,73,1474.9,42,14.29,273,94,578,294,412,166,118
22,Alex Pietrangelo,VGK,D,73,1750.633333,11,6.47,83,16,335,170,236,99,66
23,Alex Tuch,BUF,R,74,1417.266667,36,16.51,215,93,363,218,307,56,89
24,Alex Wennberg,SEA,C,82,1532.866667,13,12.87,124,83,165,101,136,29,35
25,Alexander Alexeyev,WSH,D,32,526.55,0,0,15,5,72,28,51,21,23
26,Alexander Barabanov,S.J,L,68,1227.616667,15,12.5,166,95,217,120,168,49,48
27,Alexander Edler,L.A,D,64,945.5666667,2,3.57,40,2,154,56,90,64,34
28,Alexander Kerfoot,TOR,C,82,1198.75,10,7.52,148,72,221,133,177,44,44
29,Alexander Romanov,NYI,D,76,1478.166667,2,2,55,9,235,100,134,101,34
30,Alexandre Carrier,NSH,D,43,769.2,2,4.17,31,6,99,48,67,32,19
31,Alexey Toropchenko,STL,R,69,833.2666667,10,11.63,85,49,129,86,103,26,17
32,Alexis Lafrenière,NYR,L,81,1232.783333,16,11.85,148,75,239,135,183,56,48
33,Aliaksei Protas,WSH,C,58,668.0166667,4,4.82,82,43,139,83,105,34,22
34,Anders Lee,NYI,L,82,1412.283333,28,13.08,267,184,336,214,303,33,89
35,Andre Burakovsky,SEA,L,49,811.1333333,13,12.38,103,24,206,105,147,59,42
36,Andreas Athanasiou,CHI,C,81,1296.283333,20,11.43,180,81,337,175,259,78,84
37,Andreas Englund,"CHI, COL",D,47,569.2333333,0,0,13,4,72,31,52,20,21
38,Andrei Kuzmenko,VAN,L,81,1315.583333,39,27.27,209,119,276,143,210,66,67
39,Andrei Svechnikov,CAR,R,64,1155.083333,23,11.22,227,88,411,205,318,93,113
40,Andrew Cogliano,COL,C,79,996.8,10,11.76,69,33,131,85,104,27,19
41,Andrew Copp,DET,C,82,1488.716667,9,7.5,120,52,204,120,162,42,42
42,Andrew Mangiapane,CGY,L,82,1379.383333,17,9.34,247,118,343,182,256,87,74
43,Andrew Peeke,CBJ,D,80,1699.75,6,6.67,42,5,188,90,126,62,36
44,Anthony Beauvillier,"NYI, VAN",L,82,1333.866667,18,10.23,210,88,285,176,233,52,57
45,Anthony Cirelli,T.B,C,58,960.5333333,11,9.91,135,84,189,111,155,34,44
46,Anthony Duclair,FLA,L,20,297.0333333,2,4.65,53,31,83,43,66,17,23
47,Anthony Mantha,WSH,R,67,952.6333333,11,9.24,131,58,203,119,156,47,37
48,Anton Lundell,FLA,C,73,1195.05,12,7.89,143,68,261,152,196,65,44
